PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,author_count
38446676,Microplastics and Nanoplastics in Atheromas and Cardiovascular Events,"Marfella R, Prattichizzo F, Sardu C, Fulgenzi G, Graciotti L, Spadoni T, D'Onofrio N, Scisciola L, La Grotta R, Frigé C, Pellegrini V, Municinò M, Siniscalchi M, Spinetti F, Vigliotti G, Vecchione C, Carrizzo A, Accarino G, Squillante A, Spaziano G, Mirra D, Esposito R, Altieri S, Falco G, Fenti A, Galoppo S, Canzano S, Sasso FC, Matacchione G, Olivieri F, Ferraraccio F, Panarese I, Paolisso P, Barbato E, Lubritto C, Balestrieri ML, Mauro C, Caballero AE, Rajagopalan S, Ceriello A, D'Agostino B, Iovino P, Paolisso G.",N Engl J Med. 2024 Mar 7;390(10):900-910. doi: 10.1056/NEJMoa2309822.,Marfella R,N Engl J Med,2024,2024/03/06,PMC11009876,NIHMS1978399,10.1056/NEJMoa2309822,43
38381674,Biomarker Changes during 20 Years Preceding Alzheimer's Disease,"Jia J, Ning Y, Chen M, Wang S, Yang H, Li F, Ding J, Li Y, Zhao B, Lyu J, Yang S, Yan X, Wang Y, Qin W, Wang Q, Li Y, Zhang J, Liang F, Liao Z, Wang S.",N Engl J Med. 2024 Feb 22;390(8):712-722. doi: 10.1056/NEJMoa2310168.,Jia J,N Engl J Med,2024,2024/02/21,,,10.1056/NEJMoa2310168,20
38477985,A Cell-free DNA Blood-Based Test for Colorectal Cancer Screening,"Chung DC, Gray DM 2nd, Singh H, Issaka RB, Raymond VM, Eagle C, Hu S, Chudova DI, Talasaz A, Greenson JK, Sinicrope FA, Gupta S, Grady WM.",N Engl J Med. 2024 Mar 14;390(11):973-983. doi: 10.1056/NEJMoa2304714.,Chung DC,N Engl J Med,2024,2024/03/13,,,10.1056/NEJMoa2304714,13
38477987,Oral Iptacopan Monotherapy in Paroxysmal Nocturnal Hemoglobinuria,"Peffault de Latour R, Röth A, Kulasekararaj AG, Han B, Scheinberg P, Maciejewski JP, Ueda Y, de Castro CM, Di Bona E, Fu R, Zhang L, Griffin M, Langemeijer SMC, Panse J, Schrezenmeier H, Barcellini W, Mauad VAQ, Schafhausen P, Tavitian S, Beggiato E, Chew LP, Gaya A, Huang WH, Jang JH, Kitawaki T, Kutlar A, Notaro R, Pullarkat V, Schubert J, Terriou L, Uchiyama M, Wong Lee Lee L, Yap ES, Sicre de Fontbrune F, Marano L, Alashkar F, Gandhi S, Trikha R, Yang C, Liu H, Kelly RJ, Höchsmann B, Kerloeguen C, Banerjee P, Levitch R, Kumar R, Wang Z, Thorburn C, Maitra S, Li S, Verles A, Dahlke M, Risitano AM.",N Engl J Med. 2024 Mar 14;390(11):994-1008. doi: 10.1056/NEJMoa2308695.,Peffault de Latour R,N Engl J Med,2024,2024/03/13,,,10.1056/NEJMoa2308695,53
38986058,Nirsevimab and Hospitalization for RSV Bronchiolitis,"Assad Z, Romain AS, Aupiais C, Shum M, Schrimpf C, Lorrot M, Corvol H, Prevost B, Ferrandiz C, Giolito A, Valtuille Z, Bendavid M, Cohen JF, Toubiana J, de Pontual L, Delande CF, Levy M, See P, Cohen R, Levy C, Angoulvant F, Lenglart L, Gits-Muselli M, Biran V, Diallo K, Alemede O, El Hebil MM, Durrmeyer X, Labouret G, Casanovas N, Hallak B, Maréchal O, Jung C, Bréhin C, Ouldali N.",N Engl J Med. 2024 Jul 11;391(2):144-154. doi: 10.1056/NEJMoa2314885.,Assad Z,N Engl J Med,2024,2024/07/10,,,10.1056/NEJMoa2314885,35
41269206,Medical Management and Revascularization for Asymptomatic Carotid Stenosis,"Brott TG, Howard G, Lal BK, Voeks JH, Turan TN, Roubin GS, Lazar RM, Brown RD Jr, Huston J 3rd, Edwards LJ, Jones M, Clark WM, Chamorro Á, Llull L, Mena-Hurtado C, Heck D, Marshall RS, Howard VJ, Moore WS, Barrett KM, Demaerschalk BM, Sangha N, Aronow H, Foster M, Sternbergh WC 3rd, Shawl F, Lanzino G, Rapp J, Tran HS, Ecker R, Mackey A, Ali V, Given C 2nd, Teal P, Kashyap VS, Mukherjee D, Harrigan M, Silverman S, Koopmann M, Wadley VG, Zhang Y, Rhodes JD, Chaturvedi S, Meschia JF; CREST-2 Investigators.",N Engl J Med. 2025 Nov 21. doi: 10.1056/NEJMoa2508800. Online ahead of print.,Brott TG,N Engl J Med,2025,2025/11/21,,,10.1056/NEJMoa2508800,44
40961449,Medical Imaging and Pediatric and Adolescent Hematologic Cancer Risk,"Smith-Bindman R, Alber SA, Kwan ML, Pequeno P, Bolch WE, Bowles EJA, Greenlee RT, Stout NK, Weinmann S, Moy LM, Stewart C, Francisco M, Kofler C, Duncan JR, Ducore J, Mahendra M, Pole JD, Miglioretti DL.",N Engl J Med. 2025 Oct 2;393(13):1269-1278. doi: 10.1056/NEJMoa2502098. Epub 2025 Sep 17.,Smith-Bindman R,N Engl J Med,2025,2025/09/17,PMC12445590,NIHMS2094790,10.1056/NEJMoa2502098,18
38381673,CD19 CAR T-Cell Therapy in Autoimmune Disease - A Case Series with Follow-up,"Müller F, Taubmann J, Bucci L, Wilhelm A, Bergmann C, Völkl S, Aigner M, Rothe T, Minopoulou I, Tur C, Knitza J, Kharboutli S, Kretschmann S, Vasova I, Spoerl S, Reimann H, Munoz L, Gerlach RG, Schäfer S, Grieshaber-Bouyer R, Korganow AS, Farge-Bancel D, Mougiakakos D, Bozec A, Winkler T, Krönke G, Mackensen A, Schett G.",N Engl J Med. 2024 Feb 22;390(8):687-700. doi: 10.1056/NEJMoa2308917.,Müller F,N Engl J Med,2024,2024/02/21,,,10.1056/NEJMoa2308917,28
38804512,Autoantibodies Targeting Nephrin in Podocytopathies,"Hengel FE, Dehde S, Lassé M, Zahner G, Seifert L, Schnarre A, Kretz O, Demir F, Pinnschmidt HO, Grahammer F, Lucas R, Mehner LM, Zimmermann T, Billing AM, Oh J, Mitrotti A, Pontrelli P, Debiec H, Dossier C, Colucci M, Emma F, Smoyer WE, Weins A, Schaefer F, Alachkar N, Diemert A, Hogan J, Hoxha E, Wiech T, Rinschen MM, Ronco P, Vivarelli M, Gesualdo L, Tomas NM, Huber TB; International Society of Glomerular Disease.",N Engl J Med. 2024 Aug 1;391(5):422-433. doi: 10.1056/NEJMoa2314471. Epub 2024 May 25.,Hengel FE,N Engl J Med,2024,2024/05/28,,,10.1056/NEJMoa2314471,35
38838312,Genome Sequencing for Diagnosing Rare Diseases,"Wojcik MH, Lemire G, Berger E, Zaki MS, Wissmann M, Win W, White SM, Weisburd B, Wieczorek D, Waddell LB, Verboon JM, VanNoy GE, Töpf A, Tan TY, Syrbe S, Strehlow V, Straub V, Stenton SL, Snow H, Singer-Berk M, Silver J, Shril S, Seaby EG, Schneider R, Sankaran VG, Sanchis-Juan A, Russell KA, Reinson K, Ravenscroft G, Radtke M, Popp D, Polster T, Platzer K, Pierce EA, Place EM, Pajusalu S, Pais L, Õunap K, Osei-Owusu I, Opperman H, Okur V, Oja KT, O'Leary M, O'Heir E, Morel CF, Merkenschlager A, Marchant RG, Mangilog BE, Madden JA, MacArthur D, Lovgren A, Lerner-Ellis JP, Lin J, Laing N, Hildebrandt F, Hentschel J, Groopman E, Goodrich J, Gleeson JG, Ghaoui R, Genetti CA, Gburek-Augustat J, Gazda HT, Ganesh VS, Ganapathi M, Gallacher L, Fu JM, Evangelista E, England E, Donkervoort S, DiTroia S, Cooper ST, Chung WK, Christodoulou J, Chao KR, Cato LD, Bujakowska KM, Bryen SJ, Brand H, Bönnemann CG, Beggs AH, Baxter SM, Bartolomaeus T, Agrawal PB, Talkowski M, Austin-Tse C, Abou Jamra R, Rehm HL, O'Donnell-Luria A.",N Engl J Med. 2024 Jun 6;390(21):1985-1997. doi: 10.1056/NEJMoa2314761.,Wojcik MH,N Engl J Med,2024,2024/06/05,PMC11350637,NIHMS2015531,10.1056/NEJMoa2314761,89
